price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
4799999.0,3850.0,44992,32767,5387320391,3850,1,False,2019-03-21 18:23:19.000,90,1028858195912,10000002,30000144,1,
4802000.0,128.0,44992,32767,5371690284,128,1,False,2019-02-27 05:19:36.000,90,60003760,10000002,30000142,0,
4900000.0,500.0,44992,32767,5415774366,500,1,False,2019-05-16 05:35:26.000,30,1028858195912,10000002,30000144,1,
4998000.0,460.0,44992,32767,5385564242,500,1,False,2019-03-29 15:45:38.000,90,60003760,10000002,30000142,0,
4998000.0,500.0,44992,32767,5385564387,500,1,False,2019-03-29 15:45:46.000,90,60003760,10000002,30000142,0,
4998000.0,500.0,44992,32767,5385564496,500,1,False,2019-03-29 15:45:53.000,90,60003760,10000002,30000142,0,
4999886.56,6.0,44992,32767,5323499021,10,1,False,2019-04-17 16:58:28.000,90,60003469,10000002,30000142,0,
4999886.58,4.0,44992,32767,5284696113,7,1,False,2019-02-17 21:58:08.000,90,60003469,10000002,30000142,0,
4999990.0,8080.0,44992,32767,5413938650,8080,1,False,2019-05-02 16:49:26.000,90,1028858195912,10000002,30000144,1,
4999999.0,6000.0,44992,32767,5392598557,6000,1,False,2019-03-29 18:09:54.000,90,1028858195912,10000002,30000144,1,
4999999.99,1500.0,44992,32767,5410047421,1500,1,False,2019-04-26 21:56:09.000,90,1028858195912,10000002,30000144,1,
5000000.0,3900.0,44992,32767,5387353607,3900,1,False,2019-03-21 19:19:38.000,90,1028858195912,10000002,30000144,1,
5000000.0,1500.0,44992,32767,5387939390,1500,1,False,2019-03-22 18:10:44.000,90,60003760,10000002,30000142,0,
5000000.0,200.0,44992,32767,5394295264,200,1,False,2019-03-31 19:22:41.000,90,1028858195912,10000002,30000144,1,
5000000.0,2000.0,44992,32767,5394295265,2000,1,False,2019-03-31 19:22:41.000,90,1028858195912,10000002,30000144,1,
5000000.0,2000.0,44992,32767,5394295266,2000,1,False,2019-03-31 19:22:41.000,90,1028858195912,10000002,30000144,1,
5000000.0,2000.0,44992,32767,5394295267,2000,1,False,2019-03-31 19:22:41.000,90,1028858195912,10000002,30000144,1,
5000000.0,1000.0,44992,32767,5394295268,1000,1,False,2019-03-31 19:22:41.000,90,1028858195912,10000002,30000144,1,
5000000.0,1000.0,44992,32767,5394295269,1000,1,False,2019-03-31 19:22:41.000,90,1028858195912,10000002,30000144,1,
5000000.0,500.0,44992,32767,5415774621,500,1,False,2019-05-16 05:35:16.000,30,1028858195912,10000002,30000144,1,
5006040.1,25.0,44992,32767,5424875788,25,1,False,2019-05-16 09:24:05.000,1,60003760,10000002,30000142,0,
5100000.0,1000.0,44992,32767,5395147049,1000,1,False,2019-04-02 01:52:44.000,90,1028858195912,10000002,30000144,1,
5300000.0,425.0,44992,32767,5392514441,425,1,False,2019-03-29 15:46:25.000,90,60003760,10000002,30000142,0,
5300000.0,425.0,44992,32767,5392514600,425,1,False,2019-03-29 15:46:41.000,90,60003760,10000002,30000142,0,
5400420.0,1700.0,44992,32767,5386930829,1700,1,False,2019-03-30 20:40:59.000,90,1028858195912,10000002,30000144,1,
5800000.0,425.0,44992,32767,5392514717,425,1,False,2019-03-29 15:46:53.000,90,60003760,10000002,30000142,0,
5800000.0,425.0,44992,32767,5392514846,425,1,False,2019-03-29 15:47:05.000,90,60003760,10000002,30000142,0,
6000000.0,1502.0,44992,32767,5386973393,1502,1,False,2019-03-29 12:48:01.000,90,1028858195912,10000002,30000144,1,
6000000.0,1017.0,44992,32767,5389787395,1020,1,False,2019-03-29 12:48:34.000,90,1028858195912,10000002,30000144,1,
6000000.0,475.0,44992,32767,5389788931,1040,1,False,2019-03-29 12:48:55.000,90,1028858195912,10000002,30000144,1,
6500000.0,4.0,44992,32767,5424708999,4,1,False,2019-05-16 01:04:43.000,7,60003760,10000002,30000142,0,
8000000.0,15.0,44992,32767,5420453462,15,1,False,2019-05-10 03:43:26.000,7,60004459,10000002,30000180,6,
